State Name,FIPS Code,LEA ID,LEA Name,NCES ID,School Name,Total Students,Total Rate,Native American Count,Native American Rate,Asian/Pacific Islander Count,Asian/Pacific Islander Rate,Black Count,Black Rate,Hispanic Count,Hispanic Rate,Two or More Count,Two or More Rate,White Count,White Rate,Disabilities Count,Disabilities Rate,Economically Disadvantaged Count,Economically Disadvantaged Rate,Limited English Count,Limited English Rate
IOWA,19,1907980,Columbus Comm School District,190798000396,Columbus Community High School,64,75-79,1,PS,,.,,.,43,70-79,2,PS,18,GE80,4,PS,48,70-79,10,LT50
IOWA,19,1908070,Coon Rapids-Bayard Comm School District,190807000402,Coon Rapids-Bayard 4-12 Attendance Center,31,80-89,,.,,.,,.,2,PS,,.,29,GE80,5,PS,10,GE50,1,PS
IOWA,19,1908130,Corning Comm School District,190813000404,Corning High School,44,GE90,,.,,.,,.,,.,,.,44,GE90,4,PS,18,GE80,,.
IOWA,19,1908190,Corwith-Wesley Comm School District,190819000407,Corwith-Wesley High School,19,GE80,,.,,.,,.,,.,,.,19,GE80,3,PS,5,PS,,.
IOWA,19,1908220,Council Bluffs Comm School District,190822000435,Thomas Jefferson High School,306,78,2,PS,2,PS,2,PS,31,70-79,,.,269,75-79,66,60-64,218,70-74,21,60-79
IOWA,19,1908220,Council Bluffs Comm School District,190822000409,Abraham Lincoln High School,346,83,1,PS,4,PS,8,GE50,16,GE80,,.,317,83,54,60-69,168,70-74,18,60-79
IOWA,19,1908310,Creston Comm School District,190831000444,Creston High School,91,GE95,,.,,.,2,PS,4,PS,2,PS,83,GE95,16,GE80,41,GE90,1,PS
IOWA,19,1908310,Creston Comm School District,190831000184,High Lakes Cntry Academy High School,5,PS,,.,,.,,.,,.,,.,5,PS,1,PS,4,PS,,.
IOWA,19,1908520,Dallas Center-Grimes Comm School District,190852000451,Dallas Center-Grimes High School,139,90-94,,.,,.,,.,2,PS,,.,137,90-94,20,GE80,16,60-79,,.
IOWA,19,1908550,Danville Comm School District,190855000455,Danville Junior-Senior High School,37,80-89,,.,,.,1,PS,,.,,.,36,80-89,7,GE50,10,GE50,,.
IOWA,19,1908580,Davenport Comm School District,190858000461,Central High School,327,88,2,PS,3,PS,67,75-79,38,80-89,18,GE80,199,90-94,27,60-79,138,75-79,5,PS
IOWA,19,1908580,Davenport Comm School District,190858001977,North High School,197,85-89,,.,3,PS,50,80-89,25,GE80,5,PS,114,90-94,27,60-79,103,80-84,1,PS
IOWA,19,1908580,Davenport Comm School District,190858000487,West High School,455,85,2,PS,22,GE80,34,60-69,54,70-79,7,GE50,336,88,60,50-59,234,80-84,19,60-79
IOWA,19,1908580,Davenport Comm School District,190858002009,Kimberly Center East,80,25-29,1,PS,1,PS,19,21-39,9,LT50,2,PS,48,20-29,23,21-39,66,20-24,,.
IOWA,19,1908610,Davis County Comm School District,190861000492,Davis County Community High School,74,90-94,,.,,.,1,PS,,.,2,PS,71,90-94,11,GE50,23,GE80,,.
IOWA,19,1908610,Davis County Comm School District,190861000959,Flex Ed High School,5,PS,,.,,.,,.,1,PS,,.,4,PS,4,PS,3,PS,,.
IOWA,19,1908730,Decorah Community School District,190873000501,Decorah High School,142,GE95,2,PS,3,PS,,.,5,PS,1,PS,131,GE95,19,GE80,24,GE80,1,PS
IOWA,19,1908910,Denison Comm School District,190891000508,Denison High School,150,85-89,2,PS,6,GE50,2,PS,53,70-79,,.,87,90-94,16,60-79,87,75-79,39,60-69
