00459449, Rural: Fringe (41), Regular elementary or secondary, N/A, 18.0, 239, 11.1, 0, 0, 2, 0, 197, 0, 40, 23, 21, 27, 19, 23, 27, 21, 18, 20, N/A, N/A, N/A, N/A
00459438, Rural: Distant (42), Regular elementary or secondary, N/A, 8.5, 84, 8.9, 0, 0, 1, 0, 75, 0, 8, 9, 13, 9, 12, 5, 5, 10, 6, 7, N/A, N/A, N/A, N/A
00459405, Rural: Distant (42), Regular elementary or secondary, N/A, 15.0, 128, 8.5, 1, 2, 3, 3, 117, 2, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 20, 25, 48, 35
00459391, Suburb: Large (21), Regular elementary or secondary, N/A, 20.9, 183, 7.9, 0, 44, 3, 8, 105, 5, 18, 14, 15, 18, 14, 18, 18, 16, 11, 8, 10, 7, 12, 4
00459369, Town: Distant (32), Regular elementary or secondary, N/A, 5.8, 111, 13.3, 0, 0, 0, 1, 76, 0, 34, 22, 12, 8, 11, 9, 5, 2, 2, 6, N/A, N/A, N/A, N/A
00459325, Rural: Remote (43), Regular elementary or secondary, N/A, 5.9, 96, 11.4, 0, 0, 0, 0, 67, 0, 29, 9, 8, 9, 3, 9, 9, 5, 5, 10, N/A, N/A, N/A, N/A
00459314, Rural: Distant (42), Regular elementary or secondary, N/A, 11.4, 160, 11.5, 0, 0, 0, 3, 128, 0, 29, 24, 9, 15, 12, 16, 12, 12, 19, 12, N/A, N/A, N/A, N/A
00459303, Rural: Remote (43), Regular elementary or secondary, N/A, 1.0, 3, 3, 0, 0, 0, 0, 3, 0, N/A, N/A, N/A, 1, N/A, N/A, 1, N/A, N/A, 1, N/A, N/A, N/A, N/A
00459289, Rural: Distant (42), Regular elementary or secondary, N/A, 3.1, 24, 7.7, 0, 0, 0, 0, 24, 0, N/A, 4, 1, 2, 3, 1, 5, 2, 3, 3, N/A, N/A, N/A, N/A
00459256, Town: Distant (32), Regular elementary or secondary, N/A, 9.6, 144, 15, 0, 4, 0, 0, 137, 3, N/A, 21, 19, 22, 22, 23, 18, 19, N/A, N/A, N/A, N/A, N/A, N/A
00459223, City: Small (13), Regular elementary or secondary, N/A, 10.5, 91, 5, 0, 5, 4, 0, 44, 0, 38, 15, 6, 7, 5, 7, 8, 5, N/A, N/A, N/A, N/A, N/A, N/A
00459212, Town: Remote (33), Regular elementary or secondary, N/A, 7.0, 95, 13.6, 0, 5, 0, 3, 87, 0, N/A, 9, 13, 12, 10, 9, 11, 15, 5, 11, N/A, N/A, N/A, N/A
00459187, Rural: Distant (42), Regular elementary or secondary, N/A, 10.5, 170, 12.9, 0, 3, 0, 5, 127, 0, 35, 11, 15, 16, 11, 19, 17, 13, 16, 17, N/A, N/A, N/A, N/A
00459176, City: Midsize (12), Regular elementary or secondary, N/A, 10.4, 172, 14.2, 1, 6, 0, 4, 137, 0, 24, 14, 20, 16, 19, 16, 11, 21, 15, 16, N/A, N/A, N/A, N/A
00459165, City: Midsize (12), Regular elementary or secondary, N/A, 12.6, 288, 16.8, 0, 5, 7, 9, 180, 11, 76, 31, 15, 27, 22, 23, 23, 19, 26, 26, N/A, N/A, N/A, N/A
00459143, City: Small (13), Regular elementary or secondary, N/A, 5.4, 62, 10.4, 0, 2, 4, 5, 45, 0, 6, 12, 10, 11, 3, 5, 8, 7, N/A, N/A, N/A, N/A, N/A, N/A
00459132, Town: Remote (33), Regular elementary or secondary, N/A, 11.3, 151, 10.2, 2, 0, 14, 2, 97, 0, 36, 22, 13, 15, 15, 17, 10, 8, 6, 9, N/A, N/A, N/A, N/A
00459121, City: Midsize (12), Regular elementary or secondary, N/A, 8.0, 63, 7.9, 0, 1, 2, 1, 59, 0, N/A, 9, 9, 7, 12, 5, 9, 1, 5, 6, N/A, N/A, N/A, N/A
00459074, Town: Remote (33), Regular elementary or secondary, N/A, 6.8, 122, 10.7, 0, 1, 5, 0, 66, 1, 49, 9, 8, 7, 7, 4, 11, 7, 9, 11, N/A, N/A, N/A, N/A
00459063, Rural: Distant (42), Regular elementary or secondary, N/A, 5.0, 73, 9, 0, 0, 0, 0, 45, 0, 28, 14, 5, 4, 2, 7, 2, 7, 3, 1, N/A, N/A, N/A, N/A
00459052, City: Small (13), Regular elementary or secondary, N/A, 9.0, 154, 13.2, 0, 1, 2, 13, 103, 0, 35, 13, 13, 11, 14, 16, 13, 13, 16, 10, N/A, N/A, N/A, N/A
